iter	Passed	Remaining
437	1511	1939
438	1516	1937
439	1520	1934
440	1528	1936
441	1532	1935
442	1537	1933
443	1544	1934
444	1548	1931
445	1555	1932
446	1565	1936
447	1577	1943
448	1590	1952
449	1595	1950
450	1600	1947
451	1609	1951
452	1615	1950
453	1623	1952
454	1629	1951
455	1635	1950
456	1644	1953
457	1649	1952
458	1658	1954
459	1663	1952
460	1668	1950
461	1678	1954
462	1687	1957
463	1691	1954
464	1696	1951
465	1703	1952
466	1707	1948
467	1713	1947
468	1722	1950
469	1727	1948
470	1735	1949
471	1740	1946
472	1744	1943
473	1751	1943
474	1755	1940
475	1759	1937
476	1767	1937
477	1775	1938
478	1781	1937
479	1789	1938
480	1801	1944
481	1807	1942
482	1825	1954
483	1836	1957
484	1841	1954
485	1850	1956
486	1854	1953
487	1859	1951
488	1870	1954
489	1875	1952
490	1886	1955
491	1890	1951
492	1899	1953
493	1906	1952
494	1915	1953
495	1919	1950
496	1927	1950
497	1937	1953
498	1949	1957
499	1953	1953
500	1960	1952
501	1965	1949
502	1969	1945
503	1977	1945
504	1983	1943
505	1989	1942
506	1997	1942
507	2005	1942
508	2059	1986
509	2065	1984
510	2077	1987
511	2091	1993
512	2126	2018
513	2133	2017
514	2143	2018
515	2148	2014
516	2154	2013
517	2158	2008
518	2162	2003
519	2165	1999
520	2171	1996
521	2174	1991
522	2178	1986
523	2181	1981
524	2186	1978
525	2190	1973
526	2193	1968
527	2197	1964
528	2203	1961
529	2209	1958
530	2213	1955
531	2218	1951
532	2222	1947
533	2225	1942
534	2229	1937
535	2235	1934
536	2239	1930
537	2243	1926
538	2246	1921
539	2252	1918
540	2255	1913
541	2258	1908
542	2265	1906
543	2268	1901
544	2271	1896
545	2275	1892
546	2278	1887
547	2282	1882
548	2286	1878
549	2290	1873
550	2293	1869
551	2299	1865
552	2302	1861
553	2305	1856
554	2308	1851
555	2314	1848
556	2317	1843
557	2320	1837
558	2323	1832
559	2327	1828
560	2330	1823
561	2333	1818
562	2337	1814
563	2340	1809
564	2344	1805
565	2347	1800
566	2350	1795
567	2354	1790
568	2361	1789
569	2365	1784
570	2369	1780
571	2372	1775
572	2377	1771
573	2380	1766
574	2383	1761
575	2386	1756
576	2390	1752
577	2397	1750
578	2401	1745
579	2404	1741
580	2408	1737
581	2412	1732
582	2415	1727
583	2418	1723
584	2422	1718
585	2426	1714
586	2429	1709
587	2433	1704
588	2436	1700
589	2441	1696
590	2444	1691
591	2448	1687
592	2451	1682
593	2457	1679
594	2461	1675
595	2464	1670
596	2467	1665
597	2474	1663
598	2477	1658
599	2481	1654
600	2486	1650
601	2491	1647
602	2496	1643
603	2499	1638
604	2505	1635
605	2509	1631
606	2513	1627
607	2518	1623
608	2522	1619
609	2526	1615
610	2529	1610
611	2537	1608
612	2541	1604
613	2544	1599
614	2547	1595
615	2553	1591
616	2557	1587
617	2560	1582
618	2565	1578
619	2570	1575
620	2574	1570
621	2577	1566
622	2582	1562
623	2586	1558
624	2590	1554
625	2593	1549
626	2597	1545
627	2600	1540
628	2605	1536
629	2609	1532
630	2613	1528
631	2617	1523
632	2620	1519
633	2623	1514
634	2627	1510
635	2632	1506
636	2635	1501
637	2638	1496
638	2641	1492
639	2645	1488
640	2649	1483
641	2652	1479
642	2655	1474
643	2659	1469
644	2664	1466
645	2667	1461
646	2670	1457
647	2674	1452
648	2679	1448
649	2682	1444
650	2685	1439
651	2689	1435
652	2693	1431
653	2696	1426
654	2699	1421
655	2702	1417
656	2705	1412
657	2710	1408
658	2713	1404
659	2716	1399
660	2719	1394
661	2724	1391
662	2727	1386
663	2731	1382
664	2735	1378
665	2739	1373
666	2743	1369
667	2747	1365
668	2750	1360
669	2753	1356
670	2758	1352
671	2762	1348
672	2765	1343
673	2769	1339
674	2774	1335
675	2779	1332
676	2783	1328
677	2788	1324
678	2792	1319
679	2796	1315
680	2799	1311
681	2804	1307
682	2808	1303
683	2812	1299
684	2816	1295
685	2821	1291
686	2824	1287
687	2828	1282
688	2831	1278
689	2836	1274
690	2839	1269
691	2842	1265
692	2846	1260
693	2849	1256
694	2854	1252
695	2857	1248
696	2861	1243
697	2864	1239
698	2869	1235
699	2872	1231
700	2876	1226
701	2879	1222
702	2884	1218
703	2887	1214
704	2891	1209
705	2894	1205
706	2898	1201
707	2902	1197
708	2905	1192
709	2908	1188
710	2911	1183
711	2916	1179
712	2919	1175
713	2922	1170
714	2925	1166
715	2929	1161
716	2933	1157
717	2937	1153
718	2940	1149
719	2943	1144
720	2946	1140
721	2950	1136
722	2953	1131
723	2957	1127
724	2960	1122
725	2965	1119
726	2969	1115
727	2972	1110
728	2976	1106
729	2981	1102
730	2985	1098
731	2988	1094
732	2991	1089
733	2997	1086
734	3000	1081
735	3003	1077
736	3006	1073
737	3012	1069
738	3015	1064
739	3018	1060
740	3023	1056
741	3028	1053
742	3031	1048
743	3035	1044
744	3038	1040
745	3043	1036
746	3046	1031
747	3049	1027
748	3053	1023
749	3058	1019
750	3061	1015
751	3064	1010
752	3069	1006
753	3073	1002
754	3077	998
755	3080	994
756	3083	989
757	3086	985
758	3091	981
759	3094	977
760	3098	973
761	3101	968
762	3105	964
763	3108	960
764	3112	956
765	3115	951
766	3118	947
767	3123	943
768	3126	939
769	3130	934
770	3133	930
771	3138	926
772	3143	923
773	3147	918
774	3150	914
775	3155	910
776	3158	906
777	3162	902
778	3166	898
779	3171	894
780	3174	890
781	3178	885
782	3181	881
783	3186	877
784	3189	873
785	3193	869
786	3196	865
787	3201	861
788	3206	857
789	3213	854
790	3219	850
791	3222	846
792	3226	842
793	3230	838
794	3235	834
795	3238	830
796	3242	825
797	3245	821
798	3252	818
799	3255	813
800	3259	809
801	3262	805
802	3268	801
803	3272	797
804	3275	793
805	3278	789
806	3282	785
807	3287	781
808	3290	776
809	3294	772
810	3298	768
811	3302	764
812	3305	760
813	3308	756
814	3313	752
815	3316	747
816	3320	743
817	3323	739
818	3327	735
819	3330	731
820	3334	726
821	3337	722
822	3341	718
823	3345	714
824	3349	710
825	3352	706
826	3356	702
827	3360	698
828	3363	693
829	3366	689
830	3369	685
831	3372	681
832	3378	677
833	3381	673
834	3385	669
835	3388	664
836	3394	661
837	3397	656
838	3400	652
839	3404	648
840	3409	644
841	3412	640
842	3416	636
843	3420	632
844	3426	628
845	3430	624
846	3433	620
847	3437	616
848	3442	612
849	3445	608
850	3449	603
851	3452	599
852	3457	595
853	3461	591
854	3464	587
855	3468	583
856	3474	579
857	3477	575
858	3480	571
859	3484	567
860	3490	563
861	3494	559
862	3497	555
863	3501	551
864	3505	547
865	3509	543
866	3513	538
867	3516	534
868	3521	530
869	3525	526
870	3528	522
871	3532	518
872	3537	514
873	3540	510
874	3544	506
875	3548	502
876	3552	498
877	3556	494
878	3559	490
879	3563	485
880	3567	481
881	3570	477
882	3573	473
883	3576	469
884	3580	465
885	3584	461
886	3588	457
887	3592	453
888	3595	448
889	3599	444
890	3602	440
891	3605	436
892	3608	432
893	3611	428
894	3615	424
895	3618	420
896	3621	415
897	3624	411
898	3627	407
899	3632	403
900	3634	399
901	3637	395
902	3640	391
903	3643	386
904	3647	382
905	3650	378
906	3653	374
907	3656	370
908	3660	366
909	3663	362
910	3666	358
911	3669	354
912	3672	349
913	3676	345
914	3679	341
915	3682	337
916	3686	333
917	3690	329
918	3694	325
919	3702	321
920	3705	317
921	3710	313
922	3713	309
923	3716	305
924	3721	301
925	3725	297
926	3728	293
927	3732	289
928	3736	285
929	3740	281
930	3743	277
931	3747	273
932	3750	269
933	3753	265
934	3757	261
935	3760	257
936	3764	253
937	3767	249
938	3771	245
939	3774	240
940	3777	236
941	3781	232
942	3784	228
943	3788	224
944	3791	220
945	3794	216
946	3797	212
947	3800	208
948	3804	204
949	3807	200
950	3811	196
951	3814	192
952	3817	188
953	3821	184
954	3824	180
955	3827	176
956	3830	172
957	3834	168
958	3837	164
959	3840	160
960	3843	155
961	3846	151
962	3850	147
963	3853	143
964	3856	139
965	3859	135
966	3862	131
967	3867	127
968	3871	123
969	3877	119
970	3882	115
971	3885	111
972	3888	107
973	3892	103
974	3895	99
975	3900	95
976	3903	91
977	3906	87
978	3910	83
979	3915	79
980	3918	75
981	3921	71
982	3925	67
983	3928	63
984	3932	59
985	3935	55
986	3938	51
987	3941	47
988	3945	43
989	3948	39
990	3951	35
991	3954	31
992	3957	27
993	3961	23
994	3966	19
995	3969	15
996	3972	11
997	3976	7
998	3979	3
999	3982	0
