iter	RMSE
393	1.028974082
394	1.027685253
395	1.026166844
396	1.023780919
397	1.021150327
398	1.01943116
399	1.017703577
400	1.016165993
401	1.012678058
402	1.011035673
403	1.009722332
404	1.008185576
405	1.004703934
406	1.002147646
407	0.9996567493
408	0.9966553286
409	0.9940758072
410	0.9925960099
411	0.991121043
412	0.9898313002
413	0.9873060584
414	0.9854769216
415	0.983440189
416	0.981585175
417	0.97943546
418	0.977085635
419	0.9753768761
420	0.9740270119
421	0.9726524997
422	0.9711703916
423	0.9696766557
424	0.9682957887
425	0.9663530982
426	0.9645699067
427	0.9638270962
428	0.9607966883
429	0.9596514869
430	0.9583147607
431	0.9554392585
432	0.9540799517
433	0.9525930674
434	0.9504260607
435	0.9491364979
436	0.9472463171
437	0.9457401337
438	0.9447113495
439	0.9437541194
440	0.9422837241
441	0.9410423703
442	0.9397998132
443	0.9386230172
444	0.9368339872
445	0.9348881359
446	0.9334678619
447	0.9322912668
448	0.9310603842
449	0.930125496
450	0.9273558397
451	0.9263490574
452	0.9252741325
453	0.9237560465
454	0.9220192481
455	0.9205946124
456	0.9179377285
457	0.9164348717
458	0.9155973338
459	0.9144572703
460	0.9131740366
461	0.9117211988
462	0.909703323
463	0.9078830191
464	0.9065029109
465	0.9051259664
466	0.9040983824
467	0.9020885142
468	0.9005963463
469	0.8995449831
470	0.8983166738
471	0.8969127101
472	0.8956020434
473	0.8938595431
474	0.8930522465
475	0.8913802424
476	0.8903454704
477	0.8889096598
478	0.887235522
479	0.8848279236
480	0.8831579963
481	0.881996196
482	0.8806685086
483	0.8798765992
484	0.8781094516
485	0.8768451593
486	0.8758555653
487	0.8740534986
488	0.8721052344
489	0.8709948319
490	0.8698228917
491	0.8691124318
492	0.8676240049
493	0.8664446535
494	0.8648470149
495	0.8639211252
496	0.8631859018
497	0.8625086267
498	0.8608446028
499	0.8593503148
500	0.8578413075
501	0.8566237438
502	0.8557613293
503	0.8544979995
504	0.853019943
505	0.8515800489
506	0.8499064143
507	0.8487801965
508	0.8475358846
509	0.846391681
510	0.8451149811
511	0.8438682714
512	0.8424475624
513	0.8409693858
514	0.8398382538
515	0.8385068562
516	0.8379140879
517	0.8372063208
518	0.8365230694
519	0.8349015425
520	0.8339301514
521	0.8323424443
522	0.8312881554
523	0.830402378
524	0.828818607
525	0.82800449
526	0.8273919351
527	0.8256147174
528	0.8242461801
529	0.8233050526
530	0.8216367409
531	0.8201734043
532	0.8190873674
533	0.8177954245
534	0.817404112
535	0.816629371
536	0.8155808809
537	0.8141127928
538	0.813449401
539	0.8126705421
540	0.8118585429
541	0.8110343948
542	0.8102268363
543	0.8096054693
544	0.8084644092
545	0.8076145413
546	0.8069864509
547	0.8058497239
548	0.8047620114
549	0.8031340261
550	0.8023350609
551	0.8013930393
552	0.7998594172
553	0.798808291
554	0.7982254087
555	0.7972293503
556	0.7962365027
557	0.7952812576
558	0.7938592165
559	0.7924043823
560	0.7909503401
561	0.7899642567
562	0.7890684661
563	0.7884574784
564	0.7875369206
565	0.7863919334
566	0.7855340106
567	0.7844597487
568	0.7829664855
569	0.7818282272
570	0.780954721
571	0.7802244313
572	0.7792701515
573	0.7785570188
574	0.7774767554
575	0.7765894619
576	0.776124154
577	0.7755771672
578	0.774544034
579	0.7739144082
580	0.7732477559
581	0.7729476296
582	0.771834526
583	0.77077649
584	0.7703762298
585	0.7684740818
586	0.7666643049
587	0.7652435598
588	0.7639878269
589	0.7633739894
590	0.7621152158
591	0.760888484
592	0.7600851571
593	0.7589938984
594	0.7580982172
595	0.7570868139
596	0.7564384928
597	0.7558735288
598	0.7550325021
599	0.7537239308
600	0.752885578
601	0.7521705506
602	0.7511303521
603	0.7500065417
604	0.7491311768
605	0.7480555096
606	0.7470287981
607	0.7464571942
608	0.745630016
609	0.7445841586
610	0.7441784347
611	0.7433156929
612	0.7421896286
613	0.7414438327
614	0.7410851603
615	0.7403854911
616	0.7391137929
617	0.7378005827
618	0.7371510117
619	0.7363263688
620	0.7355048838
621	0.7349820184
622	0.7336199385
623	0.7327690927
624	0.7320126881
625	0.731542561
626	0.7305804026
627	0.7295868736
628	0.7288763296
629	0.7280757765
630	0.7276511567
631	0.7271191208
632	0.7260460992
633	0.7253975564
634	0.724823966
635	0.7241957363
636	0.7236769436
637	0.7232753314
638	0.7221770715
639	0.7214656213
640	0.7208073733
641	0.7201543721
642	0.7195431116
643	0.7187935739
644	0.7175270107
645	0.7168981877
646	0.71649119
647	0.7152349676
648	0.7144650281
649	0.7131061637
650	0.7124430395
651	0.7113639385
652	0.7105279206
653	0.7097794418
654	0.7087109555
655	0.7081459089
656	0.7076252694
657	0.7069027397
658	0.7059123896
659	0.7053209961
660	0.7048608632
661	0.7040572724
662	0.7033976233
663	0.7029054975
664	0.7018202324
665	0.7011787032
666	0.6999761113
667	0.699576425
668	0.6993470525
669	0.6981218685
670	0.6969385703
671	0.6967242918
672	0.6962911045
673	0.6952702545
674	0.6945463911
675	0.6935184597
676	0.6931405704
677	0.6924581617
678	0.6915279756
679	0.6907379971
680	0.690145199
681	0.6891887491
682	0.688308512
683	0.6871536206
684	0.6868543746
685	0.6861992463
686	0.6857402286
687	0.6850289139
688	0.6847104322
689	0.6839684841
690	0.6833157602
691	0.6826108412
692	0.6821489565
693	0.6814949431
694	0.6806088221
695	0.680031841
696	0.6797519318
697	0.6792512103
698	0.6784642966
699	0.6776773515
700	0.676806752
701	0.6759692911
702	0.6749213319
703	0.6743260645
704	0.6732661205
705	0.6722949082
706	0.6712437832
707	0.6703365748
708	0.6698451555
709	0.6693768675
710	0.6687617808
711	0.6684686723
712	0.6679665191
713	0.667525737
714	0.6670527531
715	0.6665122855
716	0.6662173374
717	0.6653769822
718	0.6648143276
719	0.6643904187
720	0.6638971768
721	0.6633087187
722	0.6627238146
723	0.6623024419
724	0.66183192
725	0.6608869243
726	0.6601923404
727	0.6596961611
728	0.6590134841
729	0.6583102798
730	0.6577258414
731	0.6573435141
732	0.6569746285
733	0.6564450745
734	0.655766651
735	0.6552135099
736	0.6543733837
737	0.6536787448
738	0.6534251048
739	0.6528449635
740	0.6523356328
741	0.6517509338
742	0.6509970228
743	0.6502441104
744	0.6493169926
745	0.6486273963
746	0.6483289074
747	0.6479830089
748	0.6472265003
749	0.6468484086
750	0.6464888692
751	0.6457871609
752	0.6448056732
753	0.6440578028
754	0.6432791671
755	0.6424976524
756	0.6424043645
757	0.641961507
758	0.6411935826
759	0.6405879434
760	0.6398669813
761	0.6393658345
762	0.6384547053
763	0.6378136183
764	0.6367600334
765	0.6361543792
766	0.6354225914
767	0.634817653
768	0.6345365617
769	0.6340774854
770	0.633925107
771	0.6333903221
772	0.6327370236
773	0.6320062508
774	0.6311050612
775	0.630848764
776	0.629830033
777	0.6290747977
778	0.6286074172
779	0.6280576947
780	0.6277961409
781	0.6272639972
782	0.6266906466
783	0.6260111129
784	0.6254621318
785	0.6249988209
786	0.6243154582
787	0.6237901381
788	0.623375172
789	0.6229637462
790	0.622493895
791	0.6220246038
792	0.621672027
793	0.6208998559
794	0.620506015
795	0.6201208292
796	0.6195345237
797	0.6189194024
798	0.6182918646
799	0.618059604
800	0.6175755919
801	0.617147225
802	0.6167695279
803	0.6163088525
804	0.6157198218
805	0.6151204918
806	0.6142654182
807	0.6139277863
808	0.6135696378
809	0.6131042845
810	0.6125247824
811	0.612138639
812	0.6116239596
813	0.6110215187
814	0.6104614073
815	0.6098809722
816	0.6091986803
817	0.6086322492
818	0.6080580781
819	0.6075886091
820	0.6072327714
821	0.6065465402
822	0.6061849382
823	0.6057986779
824	0.605186464
825	0.6047802377
826	0.604464739
827	0.6040986001
828	0.6037177144
829	0.6033630534
830	0.6029849496
831	0.6025877841
832	0.6020424578
833	0.6016546124
834	0.601179067
835	0.6006029426
836	0.6000480594
837	0.5998007533
838	0.5994187962
839	0.5984388087
840	0.5982388123
841	0.5978740195
842	0.5975597606
843	0.5968912603
844	0.5960086287
845	0.5953807755
846	0.5950724868
847	0.5945003806
848	0.5938543988
849	0.5936709116
850	0.5930247901
851	0.5924044018
852	0.5921773926
853	0.5913188383
854	0.590920393
855	0.5906723765
856	0.5902118283
857	0.5898734964
858	0.5896065697
859	0.5892157164
860	0.5887787508
861	0.5883230862
862	0.5879925296
863	0.587690382
864	0.5873728262
865	0.5869866521
866	0.5866074271
867	0.5862819867
868	0.5858164879
869	0.5853184357
870	0.5850749288
871	0.5847887681
872	0.5844674034
873	0.5842572729
874	0.5839318149
875	0.5834368191
876	0.5827857191
877	0.5822131847
878	0.5817730564
879	0.5811865709
880	0.580882806
881	0.5806190642
882	0.580155955
883	0.5798191754
884	0.5791955957
885	0.578979658
886	0.5787340007
887	0.5779467829
888	0.5775555822
889	0.5773062397
890	0.577008357
891	0.5768305171
892	0.5764156616
893	0.5757899553
894	0.5756266085
895	0.5751108043
896	0.5747176465
897	0.5742787228
898	0.5738528233
899	0.5736654302
900	0.5734878346
901	0.5732373036
902	0.5728175909
903	0.5724172931
904	0.571810783
905	0.5715354488
906	0.5708132547
907	0.5705372665
908	0.5700909361
909	0.5695813193
910	0.5692253622
911	0.5688613619
912	0.5686779587
913	0.5684209269
914	0.5680303489
915	0.567762835
916	0.5671465018
917	0.566695271
918	0.5663344584
919	0.5659588764
920	0.5656436805
921	0.5651045782
922	0.5647130768
923	0.564518664
924	0.5640933992
925	0.5638104764
926	0.5632585805
927	0.5630921851
928	0.5629189193
929	0.5626152015
930	0.5620152678
931	0.5613493947
932	0.5611050713
933	0.5607473715
934	0.5604159793
935	0.559812962
936	0.5595229935
937	0.5591125575
938	0.558875808
939	0.5583163855
940	0.5579090562
941	0.5571923096
942	0.5568832036
943	0.5566445663
944	0.5562884244
945	0.555979856
946	0.5555721428
947	0.5553775006
948	0.5547530249
949	0.5542333727
950	0.5536735933
951	0.5530639796
952	0.5528656228
953	0.5523595539
954	0.5518244604
955	0.551334734
956	0.5507242232
957	0.5504460698
958	0.5501690761
959	0.5500163889
960	0.5495791258
961	0.5493771136
962	0.5490637043
963	0.5487593743
964	0.548543064
965	0.5483410433
966	0.5479231808
967	0.5474990889
968	0.5471093784
969	0.5467508024
970	0.5461905777
971	0.5458322913
972	0.5455999924
973	0.5452400575
974	0.5449222122
975	0.5447397627
976	0.5444659958
977	0.5442551759
978	0.5437512908
979	0.5430953868
980	0.5426350376
981	0.5421417459
982	0.5419340174
983	0.5417605108
984	0.5416551273
985	0.5415108533
986	0.5412380559
987	0.5408131777
988	0.5402964282
989	0.5401328492
990	0.5394860115
991	0.5391788146
992	0.5389394438
993	0.5385720294
994	0.5383461842
995	0.5377163874
996	0.5375851598
997	0.5371525083
998	0.5369875844
999	0.5365581613
